"genotype.idx" "phenotype.idx" "pval" "phenotype" "p.bh"
"MAV25.11" "TVAG_256520" 209 1.06844100294536e-07 "MAV25" 0.00345930174837329
"Tvmar2.2" "TVAG_040800" 2 1.09593381242226e-07 "Tvmar2" 0.00349434870758454
"Tvmar3.2" "TVAG_040800" 3 1.09593381242226e-07 "Tvmar3" 0.00349434870758454
"Tvmar13.2" "TVAG_040800" 13 1.09593381242226e-07 "Tvmar13" 0.00349434870758454
"MAV25.2" "TVAG_040800" 209 1.09593381242226e-07 "MAV25" 0.00349434870758454
"MAV96" "TVAG_407460" 280 1.11422991656126e-07 "MAV96" 0.00353922808937516
"Tvmar105.2" "TVAG_251640" 105 1.21226958536629e-07 "Tvmar105" 0.00383610953561486
"Tvmar178.62" "TVAG_363530" 178 1.29755909414944e-07 "Tvmar178" 0.00409056382478118
"Tvmar138.7" "TVAG_125010" 138 1.34714599522061e-07 "Tvmar138" 0.00421519368039165
"Tvmar139.7" "TVAG_125010" 139 1.34714599522061e-07 "Tvmar139" 0.00421519368039165
"Tvmar122.5" "TVAG_433810" 122 1.50065372320447e-07 "Tvmar122" 0.00462731124668429
"MAV74.5" "TVAG_433810" 258 1.50065372320447e-07 "MAV74" 0.00462731124668429
"Tvmar179.4" "TVAG_052390" 179 1.50659248618504e-07 "Tvmar179" 0.00462731124668429
"Tvmar180.4" "TVAG_052390" 180 1.50659248618504e-07 "Tvmar180" 0.00462731124668429
"Tvmar181.4" "TVAG_052390" 181 1.50659248618504e-07 "Tvmar181" 0.00462731124668429
